AP0,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10
Son aplicaciones que desarrolla programas capaces de emular procesos propios de la inteligencia humana ,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,Mucho,Rob¢tica (chat o tutores)
"Es la tecnologia mas avanzada del momento, mas completa y asequible.",Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Aprendizaje autom tico
,Poco,Poco,Mucho,Nada,Nada,Poco,Mucho,Poco,Poco,Asistentes virtuales
"Un tipo de tecnolog¡a pr cticamente nueva, con la podemos crear diferentes tipos de documentos.",Nada,Poco,Poco,Nada,Nada,Poco,Poco,Nada,Poco,Ninguna
Es tecnolog¡a que permite que las computadoras simulen la inteligencia humana y las capacidades humanas de resoluci¢n de problemas.,Mucho,Poco,Mucho,Poco,Poco,Mucho,Mucho,Poco,Mucho,Plataformas educativas
Es el uso de la tecnolog¡a para desarrollar material de manera did ctica y din mica,Mucho,Poco,Mucho,Poco,Nada,Poco,Mucho,Poco,Mucho,Plataformas educativas
,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,Poco,Mucho,Plataformas educativas
"M‚todo tecnol¢gico creado por el ser humano para facilitar acciones del d¡a a d¡a como investigar, crear, dise¤ar, ayudar, entre otras.",Mucho,Mucho,Mucho,Nada,Nada,Mucho,Poco,Mucho,Mucho,Rob¢tica (chat o tutores)
El una herramienta que nos facilita la vida ,Poco,Mucho,Mucho,Mucho,Poco,Mucho,Mucho,Poco,Mucho,Otra
Es un conjunto de sistemas inform ticos ,Poco,Poco,Mucho,Poco,Poco,Mucho,Mucho,Poco,Mucho,Asistentes virtuales
Es una disciplina que se ocupa de crear sistemas matem ticos para tomar decisiones similar a la de los seres humanos.,Mucho,Poco,Mucho,Mucho,Poco,Mucho,Poco,Poco,Mucho,Plataformas educativas
Un buen m‚todo de aprendizaje ,Mucho,Poco,Mucho,Poco,Poco,Poco,Mucho,Poco,Mucho,Plataformas educativas
"C¢mo lo bien lo dice su nombre ?Inteligencia Artificial?, es para mi la organizaci¢n de los datos registrados como en formaci¢n en la internet, mediante un sistema que lo analiza y agrupa de manera coherente, simplificando las necesidades del razonamiento humano.",Poco,Poco,Poco,Poco,Nada,Poco,Poco,Poco,Poco,Simuladores
Para mi es la ciencia que permite que la tecnologia simule al ser humano,Mucho,Poco,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Plataformas educativas
"Sistema de interpretaci¢n, an lisis, comprensi¢n e inferencia de datos para dar una respuesta basada en estad¡sticas y otros datos.",Mucho,Nada,Mucho,Nada,Nada,Nada,Nada,Nada,Poco,Plataformas educativas
La inteligencia artificial es como una base de datos creada por el hombre para resolver y atender a necesidades propias de ‚l . ,Poco,Poco,Mucho,Poco,Nada,Poco,Poco,Nada,Poco,Plataformas educativas
Es un campo de la inform tica que se enfoca en crear sistemas que puedan realizar tareas que normalmente requieren inteligencia humana. ,Mucho,Mucho,Mucho,Poco,Mucho,Mucho,Mucho,Mucho,Mucho,Plataformas educativas
Es la capacidad que tienen las m quinas de presentar razonamientos l¢gicos a gran velocidad.,Mucho,Mucho,Mucho,Poco,Nada,Mucho,Nada,Mucho,Mucho,Plataformas educativas
M quina que tiene interacci¢n con el hombre por s¡ sola y aprende de uno mismo,Mucho,Poco,Mucho,Poco,Nada,Mucho,Poco,Poco,Mucho,Simuladores
Es una simulaci¢n del cerebro humano introducido en un sistema para operar de manera similar al ser humano ,Poco,Poco,Mucho,Nada,Nada,Poco,Nada,Poco,Mucho,Rob¢tica (chat o tutores)
"Para m¡, la inteligencia artificial es una tecnolog¡a que permite a las m quinas aprender, razonar, y tomar decisiones de manera aut¢noma, simulando la inteligencia. Utilizando datos para realizar tareas espec¡ficas de forma eficiente y precisa. Su potencial es enorme y est  transformando muchos aspectos de nuestra vida cotidiana. Ejemplos de estos son: Plataformas virtuales( clasroom, Edmodo, etc) el Chat GPT muy usado actualmente,  etc.",Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,Mucho,Mucho,Plataformas educativas
Los unnconjunto de procesadores sofware  que segun su base de datos registras o dan informacion de cualquier tema ...,Poco,Nada,Poco,Poco,Nada,Poco,Poco,Nada,Poco,Plataformas educativas
Son un conjunto de algoritmos que trabajan con el fin de hacer la cosas m s f ciles a las personas ,Poco,Nada,Poco,Poco,Nada,Poco,Poco,Poco,Mucho,Plataformas educativas
"Es un plan que da buen resultado, es artificial ",Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Simuladores
"Es una inteligencia rob¢tica 
",Mucho,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Plataformas educativas
Son programas que realizan operaciones similares a las de los seres humanos ,Mucho,Poco,Mucho,Nada,Nada,Poco,Nada,Poco,Mucho,Ninguna
La facilidad de llevar a cabo procesos o trabajos mediante inteligencia o medios electr¢nicos ,Mucho,Mucho,Poco,Poco,Poco,Poco,Nada,Poco,Poco,Asistentes virtuales
"Una funci¢n con la cual las m quinas aprenden a realizar tareas, en lugar de simplemente hacer c lculos que son ingresados por usuarios humanos.",Poco,Nada,Poco,Poco,Nada,Poco,Poco,Nada,Poco,Plataformas educativas
"Inteligencia artificial, que se basa en procedimientos automatizados",Poco,Mucho,Poco,Nada,Poco,Nada,Nada,Poco,Poco,Rob¢tica (chat o tutores)
Es aquella que se utiliza por medio la tecnologia,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Asistentes virtuales
Es un programa que ayuda a responder preguntas ,Poco,Poco,Mucho,Nada,Nada,Poco,Poco,Poco,Mucho,Ninguna
Son sistemas capaces de realizar tareas que normalmente requieren de la inteligencia humana.,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Plataformas educativas
Es el sistema inform tico que puede realizar tareas por s¡ mismo ,Mucho,Mucho,Mucho,Nada,Nada,Mucho,Poco,Mucho,Mucho,Rob¢tica (chat o tutores)
Es una ciencia de la inform tica capaz de realizar tareas que normalmente requieren inteligencia humana y el razonamiento.,Mucho,Poco,Mucho,Poco,Poco,Mucho,Poco,Poco,Mucho,Plataformas educativas
Es aquella rama de la inform tica que crea sistemas que pueden imitar la inteligencia humana ,Mucho,Mucho,Mucho,Poco,Mucho,Mucho,Poco,Mucho,Mucho,Simuladores
Es tecnolog¡a avanzada,Mucho,Poco,Poco,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Plataformas educativas
Son tecnolog¡as capaces de llegar a conseguir conclusiones y respuestas a problemas mediante sus propios medios ,Nada,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Poco,Plataformas educativas
Son aplicaciones que ejecutan comportamientos comparables con el razonamiento humano,Poco,Poco,Poco,Nada,Nada,Poco,Nada,Poco,Nada,Simuladores
" sistemas que puedan realizar tareas que normalmente requieren inteligencia humana, como el aprendizaje, el razonamiento y la percepci¢n.",Mucho,Poco,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Plataformas educativas
un gran avance tecnol¢gico ,Poco,Poco,Mucho,Poco,Nada,Poco,Poco,Poco,Poco,Asistentes virtuales
Se refiere a la capacidad de un software para resolver problemas por s¡ mismo.,Poco,Poco,Poco,Nada,Nada,Poco,Poco,Poco,Poco,Rob¢tica (chat o tutores)
El futuro ,Mucho,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Simuladores
Una herramienta,Mucho,Poco,Mucho,Poco,Mucho,Poco,Poco,Poco,Mucho,Asistentes virtuales
"Para mi la inteligencia artificial es un campo de la inform tica que se enfoca en crear sistemas que puedan realizar tareas que normalmente requieren inteligencia humana, como el aprendizaje, y el razonamiento. ",Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Plataformas educativas
Ha sido un avance tecnol¢gico que facilita las actividades inform tica y tareas del d¡a a d¡a.,Mucho,Poco,Mucho,Poco,Poco,Mucho,Poco,Poco,Mucho,Asistentes virtuales
Es la emulaci¢n del razonamiento y conocimiento humano progresivo mediante m quinas o aparatos electr¢nicos.,Mucho,Poco,Mucho,Poco,Nada,Mucho,Poco,Mucho,Mucho,Simuladores
Son un rengl¢n de algoritmos que se emplean en el campo inform tico con la misma o mayor inteligencia humana.,Mucho,Poco,Mucho,Nada,Poco,Mucho,Poco,Poco,Mucho,Rob¢tica (chat o tutores)
